store_id,product_id,week,category,units_sold,baseline_forecast,baseline_used_fallback,abs_error
S001,P0001,2023-12-18,Electronics,697,670.0,False,27.0
S001,P0001,2023-12-25,Electronics,483,783.0,False,300.0
S001,P0001,2024-01-01,Electronics,347,577.0,False,230.0
S001,P0001,2024-01-08,Electronics,588,605.0,False,17.0
S001,P0001,2024-01-15,Electronics,593,624.0,False,31.0
S001,P0001,2024-01-22,Electronics,779,592.0,False,187.0
S001,P0002,2023-12-18,Clothing,848,703.0,False,145.0
S001,P0002,2023-12-25,Clothing,739,732.0,False,7.0
S001,P0002,2024-01-01,Clothing,795,755.0,False,40.0
S001,P0002,2024-01-08,Clothing,643,705.0,False,62.0
S001,P0002,2024-01-15,Clothing,703,743.0,False,40.0
S001,P0002,2024-01-22,Clothing,697,895.0,False,198.0
S001,P0003,2023-12-18,Clothing,896,783.0,False,113.0
S001,P0003,2023-12-25,Clothing,630,689.0,False,59.0
S001,P0003,2024-01-01,Clothing,896,928.0,False,32.0
S001,P0003,2024-01-08,Clothing,661,988.0,False,327.0
S001,P0003,2024-01-15,Clothing,620,1078.0,False,458.0
S001,P0003,2024-01-22,Clothing,902,1100.0,False,198.0
S001,P0004,2023-12-18,Electronics,686,634.0,False,52.0
S001,P0004,2023-12-25,Electronics,282,735.0,False,453.0
S001,P0004,2024-01-01,Electronics,216,638.0,False,422.0
S001,P0004,2024-01-08,Electronics,666,532.0,False,134.0
S001,P0004,2024-01-15,Electronics,751,592.0,False,159.0
S001,P0004,2024-01-22,Electronics,518,507.0,False,11.0
S001,P0005,2023-12-18,Groceries,668,734.0,False,66.0
S001,P0005,2023-12-25,Groceries,472,819.0,False,347.0
S001,P0005,2024-01-01,Groceries,594,818.0,False,224.0
S001,P0005,2024-01-08,Groceries,716,881.0,False,165.0
S001,P0005,2024-01-15,Groceries,858,1024.0,False,166.0
S001,P0005,2024-01-22,Groceries,658,808.0,False,150.0
S001,P0006,2023-12-18,Toys,614,603.0,False,11.0
S001,P0006,2023-12-25,Toys,270,519.0,False,249.0
S001,P0006,2024-01-01,Toys,238,520.0,False,282.0
S001,P0006,2024-01-08,Toys,397,553.0,False,156.0
S001,P0006,2024-01-15,Toys,429,630.0,False,201.0
S001,P0006,2024-01-22,Toys,576,628.0,False,52.0
S001,P0007,2023-12-18,Groceries,968,984.0,False,16.0
S001,P0007,2023-12-25,Groceries,497,764.0,False,267.0
S001,P0007,2024-01-01,Groceries,516,625.0,False,109.0
S001,P0007,2024-01-08,Groceries,740,789.0,False,49.0
S001,P0007,2024-01-15,Groceries,454,776.0,False,322.0
S001,P0007,2024-01-22,Groceries,604,679.0,False,75.0
S001,P0008,2023-12-18,Electronics,659,473.0,False,186.0
S001,P0008,2023-12-25,Electronics,360,596.0,False,236.0
S001,P0008,2024-01-01,Electronics,373,566.0,False,193.0
S001,P0008,2024-01-08,Electronics,583,538.0,False,45.0
S001,P0008,2024-01-15,Electronics,608,652.0,False,44.0
S001,P0008,2024-01-22,Electronics,599,451.0,False,148.0
S001,P0009,2023-12-18,Clothing,956,690.0,False,266.0
S001,P0009,2023-12-25,Clothing,724,770.0,False,46.0
S001,P0009,2024-01-01,Clothing,675,797.0,False,122.0
S001,P0009,2024-01-08,Clothing,797,897.0,False,100.0
S001,P0009,2024-01-15,Clothing,892,962.0,False,70.0
S001,P0009,2024-01-22,Clothing,863,945.0,False,82.0
S001,P0010,2023-12-18,Furniture,543,430.0,False,113.0
S001,P0010,2023-12-25,Furniture,334,597.0,False,263.0
S001,P0010,2024-01-01,Furniture,287,608.0,False,321.0
S001,P0010,2024-01-08,Furniture,350,423.0,False,73.0
S001,P0010,2024-01-15,Furniture,447,519.0,False,72.0
S001,P0010,2024-01-22,Furniture,508,562.0,False,54.0
S001,P0011,2023-12-18,Furniture,499,592.0,False,93.0
S001,P0011,2023-12-25,Furniture,288,573.0,False,285.0
S001,P0011,2024-01-01,Furniture,235,486.0,False,251.0
S001,P0011,2024-01-08,Furniture,488,570.0,False,82.0
S001,P0011,2024-01-15,Furniture,445,551.0,False,106.0
S001,P0011,2024-01-22,Furniture,581,444.0,False,137.0
S001,P0012,2023-12-18,Groceries,860,954.0,False,94.0
S001,P0012,2023-12-25,Groceries,487,651.0,False,164.0
S001,P0012,2024-01-01,Groceries,454,806.0,False,352.0
S001,P0012,2024-01-08,Groceries,720,659.0,False,61.0
