store_id,product_id,category,region,inventory_level,avg_daily_demand_forecast,days_of_cover,risk_flag,capital_locked,revenue_at_risk
S002,P0018,Clothing,South,61,87.83818550271383,0.6944587897721927,Reorder,0.0,17264.04369483713
S002,P0011,Groceries,South,73,104.73570922967404,0.6969924635724662,Reorder,0.0,55320.56703412679
S002,P0008,Groceries,South,85,99.88880303564471,0.8509462263720216,Reorder,0.0,16571.69934131186
S002,P0016,Clothing,South,88,102.01917061008915,0.8625829780201847,Reorder,0.0,57291.2787757621
S001,P0015,Toys,North,80,92.72449083435268,0.8627709818640654,Reorder,0.0,7898.711529465707
S001,P0013,Toys,North,91,92.65452419606119,0.9821430824839148,Reorder,0.0,18823.957158013178
S003,P0020,Clothing,East,113,111.56621610041721,1.0128514164027245,Reorder,0.0,47158.22399682618
S003,P0019,Groceries,East,108,103.1504673995859,1.0470141602134277,Reorder,0.0,37733.573551931884
S001,P0009,Clothing,North,128,118.67186981387042,1.0786043921003368,Reorder,0.0,63489.224063782334
S004,P0020,Furniture,West,79,72.55193127212084,1.0888752182721968,Reorder,0.0,56837.282160459225
S005,P0010,Groceries,North,115,104.93227384318202,1.0959449918321973,Hold,0.0,0.0
S003,P0003,Electronics,East,95,86.60701241625237,1.0969088685730097,Hold,0.0,0.0
S003,P0010,Groceries,East,111,100.90073917113692,1.1000910490034548,Hold,0.0,0.0
S002,P0006,Clothing,South,98,88.91508944547924,1.1021751269798972,Hold,0.0,0.0
S001,P0018,Groceries,North,130,108.5743885362341,1.1973357782863832,Hold,0.0,0.0
S002,P0004,Groceries,South,129,106.14218253953754,1.215350927534847,Hold,0.0,0.0
S003,P0009,Groceries,East,123,101.10478373418456,1.2165596469043476,Hold,0.0,0.0
S002,P0013,Groceries,South,125,101.44135246772399,1.2322390914471666,Hold,0.0,0.0
S004,P0008,Furniture,West,92,74.56421234958009,1.2338358724782814,Hold,0.0,0.0
S005,P0009,Groceries,North,136,105.65096778825954,1.2872574936801762,Hold,0.0,0.0
S004,P0006,Groceries,West,134,103.63091361105114,1.2930504550305375,Hold,0.0,0.0
S001,P0002,Clothing,North,136,101.53435898989733,1.3394480583024315,Hold,0.0,0.0
S004,P0018,Furniture,West,97,72.16214843445148,1.3441950122661606,Hold,0.0,0.0
S005,P0004,Groceries,North,141,104.72754845166983,1.346350622014888,Hold,0.0,0.0
S002,P0010,Groceries,South,143,105.34106698284326,1.3574952684245185,Hold,0.0,0.0
S002,P0009,Groceries,South,153,106.8624878000589,1.43174656654321,Hold,0.0,0.0
S005,P0008,Groceries,North,154,104.72903283552662,1.470461397670422,Hold,0.0,0.0
S005,P0017,Toys,North,137,92.74337901186752,1.4771943987771825,Hold,0.0,0.0
S005,P0020,Toys,North,126,85.16364924530376,1.4795044730536615,Hold,0.0,0.0
S001,P0019,Furniture,North,110,72.8056497228675,1.5108717581494249,Hold,0.0,0.0
S003,P0011,Electronics,East,143,88.27014739311245,1.6200267499627854,Hold,0.0,0.0
S004,P0017,Clothing,West,166,101.82201339228577,1.6302957923298782,Hold,0.0,0.0
S003,P0008,Clothing,East,170,102.04627993435984,1.6659108015436785,Hold,0.0,0.0
S004,P0005,Clothing,West,184,108.29442817789308,1.6990717167622593,Hold,0.0,0.0
S003,P0016,Electronics,East,161,94.22679727525055,1.7086434502246208,Hold,0.0,0.0
S005,P0019,Furniture,North,125,72.96609125637087,1.7131245191798032,Hold,0.0,0.0
S001,P0008,Electronics,North,162,93.30199401319597,1.7362972968947252,Hold,0.0,0.0
S003,P0007,Groceries,East,187,105.76193108441683,1.7681220272986575,Hold,0.0,0.0
S003,P0006,Toys,East,156,86.40400040997243,1.8054719603236689,Hold,0.0,0.0
S005,P0018,Clothing,North,197,106.63558783269832,1.847413269846417,Hold,0.0,0.0
S005,P0002,Electronics,North,156,83.3236146468272,1.8722183460381143,Hold,0.0,0.0
S001,P0017,Toys,North,186,91.8734332069768,2.024524321203611,Hold,0.0,0.0
S004,P0019,Clothing,West,219,104.51516871429972,2.0953896232866773,Hold,0.0,0.0
S004,P0016,Furniture,West,153,72.10791680741653,2.1218197220788864,Hold,0.0,0.0
S004,P0003,Furniture,West,153,71.878922502799,2.128579487179181,Hold,0.0,0.0
S005,P0014,Furniture,North,161,73.27179935657138,2.1972982977599105,Hold,0.0,0.0
S001,P0016,Groceries,North,225,101.23450971434117,2.222562253078466,Hold,0.0,0.0
S002,P0017,Toys,South,204,91.34114673474349,2.2333855802404154,Hold,0.0,0.0
S004,P0010,Groceries,West,247,107.86722395713353,2.289852199201473,Hold,0.0,0.0
S001,P0004,Electronics,North,241,101.7552577579714,2.368427984067686,Hold,0.0,0.0
S003,P0001,Toys,East,207,87.37408231926729,2.369123594839215,Hold,0.0,0.0
S004,P0012,Electronics,West,201,84.24206341666475,2.385981442617872,Hold,0.0,0.0
S005,P0003,Toys,North,212,88.41638738382343,2.397745556824088,Hold,0.0,0.0
S005,P0006,Groceries,North,266,109.10570765181485,2.438002609807328,Hold,0.0,0.0
S005,P0016,Toys,North,233,92.33538091474554,2.5234097449073385,Hold,0.0,0.0
S005,P0011,Electronics,North,269,106.53032891573248,2.525102501211501,Hold,0.0,0.0
S005,P0007,Groceries,North,261,102.09669082032238,2.5564001918468438,Hold,0.0,0.0
S005,P0001,Groceries,North,267,101.22432097645932,2.6377060119977824,Hold,0.0,0.0
S004,P0002,Groceries,West,273,101.74686771536548,2.683129280831634,Hold,0.0,0.0
S005,P0005,Groceries,North,288,104.63001745304106,2.752556168971845,Hold,0.0,0.0
S001,P0011,Furniture,North,204,72.77727040229081,2.803072976938397,Hold,0.0,0.0
S003,P0002,Groceries,East,327,102.81804190514063,3.1803756805803443,Hold,0.0,0.0
S002,P0019,Clothing,South,339,106.35734439665215,3.1873680367170847,Hold,0.0,0.0
S003,P0017,Furniture,East,239,73.06928788381157,3.2708680612850234,Hold,0.0,0.0
S003,P0014,Groceries,East,350,106.91940837484331,3.2734936090644347,Hold,0.0,0.0
S004,P0001,Groceries,West,342,101.6961364614197,3.3629596157740367,Hold,0.0,0.0
S002,P0003,Groceries,South,388,105.47629740898071,3.6785515753889553,Hold,0.0,0.0
S004,P0013,Groceries,West,389,102.48207184423242,3.7957858677102116,Hold,0.0,0.0
S001,P0012,Groceries,North,396,102.26124698118939,3.872434687529704,Hold,0.0,0.0
S003,P0012,Furniture,East,286,72.97755959189676,3.9190129349263234,Hold,0.0,0.0
S001,P0003,Clothing,North,434,110.59793309618053,3.9241239673310684,Hold,0.0,0.0
S003,P0015,Groceries,East,413,103.9003019861145,3.9749643851390766,Hold,0.0,0.0
S004,P0015,Furniture,West,292,72.22520660922922,4.042909860817028,Hold,0.0,0.0
S004,P0004,Groceries,West,439,107.06740818003756,4.100220669036895,Hold,0.0,0.0
S001,P0001,Electronics,North,383,89.31586183877683,4.288152094320598,Hold,0.0,0.0
S001,P0020,Furniture,North,333,73.34389549619529,4.540255160257671,Hold,0.0,0.0
S004,P0009,Clothing,West,472,101.310940860942,4.658924258218673,Hold,0.0,0.0
S002,P0020,Furniture,South,332,71.25534100803716,4.659299854624967,Hold,0.0,0.0
S001,P0007,Groceries,North,476,101.67561580819412,4.681555122301396,Hold,0.0,0.0
S002,P0007,Toys,South,414,86.6698792719438,4.77674601000647,Hold,0.0,0.0
S005,P0012,Furniture,North,375,77.49045355286187,4.839305782926993,Hold,0.0,0.0
S001,P0006,Toys,North,436,87.429011905465,4.9869029798876925,Hold,0.0,0.0
S002,P0012,Electronics,South,423,83.13825518921858,5.087910481610094,Hold,0.0,0.0
S005,P0015,Groceries,North,520,100.34313940848543,5.182217768602391,Hold,0.0,0.0
S004,P0014,Furniture,West,379,72.7786458752873,5.207571471574922,Hold,0.0,0.0
S002,P0001,Groceries,South,569,106.52998444991616,5.341219215774022,Hold,0.0,0.0
S003,P0004,Groceries,East,552,103.06785508001329,5.355695037715428,Hold,0.0,0.0
S004,P0011,Clothing,West,596,109.69806038291922,5.433095151542,Hold,0.0,0.0
S004,P0007,Groceries,West,574,102.79764351159383,5.583785584883203,Hold,0.0,0.0
S002,P0005,Electronics,South,552,92.77057067041183,5.950162815760866,Hold,0.0,0.0
S002,P0002,Toys,South,515,85.77823462005908,6.003854034547456,Clear,14461.199999999999,0.0
S001,P0014,Groceries,North,660,102.06935602408096,6.46619147713921,Clear,46193.399999999994,0.0
S001,P0010,Furniture,North,518,73.66838834716829,7.031509873120649,Clear,65174.759999999995,0.0
S002,P0014,Electronics,South,676,92.02558067644236,7.345783585726934,Clear,85973.68000000001,0.0
S003,P0013,Groceries,East,781,106.19794955574157,7.354190954412598,Clear,58145.450000000004,0.0
S005,P0013,Groceries,North,792,106.60565262225391,7.429249580286047,Clear,61871.04,0.0
S003,P0005,Toys,East,782,91.09162256163818,8.584763099052834,Clear,19800.24,0.0
S003,P0018,Furniture,East,652,72.93016542193676,8.940059250213684,Clear,92720.92,0.0
S001,P0005,Groceries,North,946,105.57318531669264,8.960608673142154,Clear,43345.72,0.0
S002,P0015,Clothing,South,1039,106.65570435392753,9.741626163305531,Clear,64532.29,0.0
