date,store_id,product_id,units_sold,demand,price,discount,promotion
2022-01-01,S001,P0001,102,115,72.72,5,0
2022-01-01,S001,P0002,117,229,80.16,15,1
2022-01-01,S001,P0003,114,157,62.94,10,1
2022-01-01,S001,P0004,45,52,87.63,10,0
2022-01-01,S001,P0005,65,59,54.41,0,0
2022-01-01,S001,P0006,60,55,35.53,0,0
2022-01-01,S001,P0007,81,94,23.27,5,0
2022-01-01,S001,P0008,42,61,37.79,5,0
2022-01-01,S001,P0009,88,129,94.2,5,0
2022-01-01,S001,P0010,70,69,113.35,10,0
2022-01-01,S001,P0011,51,64,156.34,0,0
2022-01-01,S001,P0012,121,104,84.48,0,0
2022-01-01,S001,P0013,113,110,33.1,5,0
2022-01-01,S001,P0014,121,165,80.13,10,1
2022-01-01,S001,P0015,55,64,14.39,5,0
2022-01-01,S001,P0016,78,115,38.79,10,0
2022-01-01,S001,P0017,59,75,21.21,0,0
2022-01-01,S001,P0018,78,66,54.4,5,0
2022-01-01,S001,P0019,61,58,95.56,10,0
2022-01-01,S001,P0020,36,43,100.47,5,0
2022-01-01,S002,P0001,102,118,90.89,0,0
2022-01-01,S002,P0002,119,105,25.68,25,1
2022-01-01,S002,P0003,167,171,95.17,10,1
2022-01-01,S002,P0004,111,110,39.54,10,0
2022-01-01,S002,P0005,103,94,92.35,0,0
2022-01-01,S002,P0006,79,88,64.0,5,0
2022-01-01,S002,P0007,89,93,25.47,10,0
2022-01-01,S002,P0008,124,112,25.63,5,0
2022-01-01,S002,P0009,131,145,64.84,10,0
2022-01-01,S002,P0010,118,195,117.17,5,0
2022-01-01,S002,P0011,49,79,84.71,10,0
2022-01-01,S002,P0012,78,122,78.86,0,0
2022-01-01,S002,P0013,93,109,21.76,10,0
2022-01-01,S002,P0014,69,63,100.18,10,1
2022-01-01,S002,P0015,70,96,65.19,10,0
2022-01-01,S002,P0016,113,194,111.87,5,0
2022-01-01,S002,P0017,72,65,18.89,5,0
2022-01-01,S002,P0018,69,79,27.67,0,0
2022-01-01,S002,P0019,82,96,83.09,10,0
2022-01-01,S002,P0020,43,53,125.8,0,0
2022-01-01,S003,P0001,109,112,16.85,10,0
2022-01-01,S003,P0002,56,82,50.42,10,1
2022-01-01,S003,P0003,122,126,83.17,20,1
2022-01-01,S003,P0004,122,158,26.29,5,0
2022-01-01,S003,P0005,40,57,19.8,5,0
2022-01-01,S003,P0006,106,136,44.64,0,0
2022-01-01,S003,P0007,123,142,18.65,0,0
2022-01-01,S003,P0008,61,89,113.01,0,0
2022-01-01,S003,P0009,96,126,56.32,5,0
2022-01-01,S003,P0010,70,106,36.21,10,0
2022-01-01,S003,P0011,157,149,131.16,10,0
2022-01-01,S003,P0012,58,80,105.94,0,0
2022-01-01,S003,P0013,105,176,86.78,10,0
2022-01-01,S003,P0014,27,44,61.69,25,1
2022-01-01,S003,P0015,131,133,98.46,10,0
2022-01-01,S003,P0016,80,108,94.11,10,0
2022-01-01,S003,P0017,53,82,112.23,10,0
2022-01-01,S003,P0018,56,75,134.95,5,0
2022-01-01,S003,P0019,109,123,59.71,0,0
2022-01-01,S003,P0020,41,61,65.81,5,0
2022-01-01,S004,P0001,85,81,10.47,0,0
2022-01-01,S004,P0002,67,112,19.12,10,1
2022-01-01,S004,P0003,92,114,134.16,20,1
2022-01-01,S004,P0004,88,86,51.64,0,0
2022-01-01,S004,P0005,197,183,89.23,10,0
2022-01-01,S004,P0006,48,73,35.33,0,0
2022-01-01,S004,P0007,43,65,24.34,5,0
2022-01-01,S004,P0008,59,80,100.64,0,0
2022-01-01,S004,P0009,106,98,110.47,5,0
2022-01-01,S004,P0010,120,128,30.02,0,0
2022-01-01,S004,P0011,60,61,52.89,0,0
2022-01-01,S004,P0012,111,103,118.15,0,0
2022-01-01,S004,P0013,104,110,20.24,10,0
2022-01-01,S004,P0014,52,70,148.46,10,1
2022-01-01,S004,P0015,42,44,86.47,5,0
2022-01-01,S004,P0016,74,71,110.39,10,0
2022-01-01,S004,P0017,65,85,84.83,10,0
2022-01-01,S004,P0018,64,67,141.31,10,0
