Date,Year,Quarter,Month,MonthName,Day,DayOfWeek,DayName,WeekOfYear,IsWeekend,Seasonality,Epidemic
2022-01-01,2022,1,1,January,1,6,Saturday,52,True,Winter,0
2022-01-02,2022,1,1,January,2,7,Sunday,52,True,Winter,0
2022-01-03,2022,1,1,January,3,1,Monday,1,False,Winter,0
2022-01-04,2022,1,1,January,4,2,Tuesday,1,False,Winter,0
2022-01-05,2022,1,1,January,5,3,Wednesday,1,False,Winter,0
2022-01-06,2022,1,1,January,6,4,Thursday,1,False,Winter,0
2022-01-07,2022,1,1,January,7,5,Friday,1,False,Winter,0
2022-01-08,2022,1,1,January,8,6,Saturday,1,True,Winter,0
2022-01-09,2022,1,1,January,9,7,Sunday,1,True,Winter,0
2022-01-10,2022,1,1,January,10,1,Monday,2,False,Winter,0
2022-01-11,2022,1,1,January,11,2,Tuesday,2,False,Winter,0
2022-01-12,2022,1,1,January,12,3,Wednesday,2,False,Winter,0
2022-01-13,2022,1,1,January,13,4,Thursday,2,False,Winter,0
2022-01-14,2022,1,1,January,14,5,Friday,2,False,Winter,0
2022-01-15,2022,1,1,January,15,6,Saturday,2,True,Winter,0
2022-01-16,2022,1,1,January,16,7,Sunday,2,True,Winter,0
2022-01-17,2022,1,1,January,17,1,Monday,3,False,Winter,0
2022-01-18,2022,1,1,January,18,2,Tuesday,3,False,Winter,0
2022-01-19,2022,1,1,January,19,3,Wednesday,3,False,Winter,0
2022-01-20,2022,1,1,January,20,4,Thursday,3,False,Winter,0
2022-01-21,2022,1,1,January,21,5,Friday,3,False,Winter,0
2022-01-22,2022,1,1,January,22,6,Saturday,3,True,Winter,0
2022-01-23,2022,1,1,January,23,7,Sunday,3,True,Winter,0
2022-01-24,2022,1,1,January,24,1,Monday,4,False,Winter,0
2022-01-25,2022,1,1,January,25,2,Tuesday,4,False,Winter,0
2022-01-26,2022,1,1,January,26,3,Wednesday,4,False,Winter,0
2022-01-27,2022,1,1,January,27,4,Thursday,4,False,Winter,0
2022-01-28,2022,1,1,January,28,5,Friday,4,False,Winter,0
2022-01-29,2022,1,1,January,29,6,Saturday,4,True,Winter,0
2022-01-30,2022,1,1,January,30,7,Sunday,4,True,Winter,0
2022-01-31,2022,1,1,January,31,1,Monday,5,False,Winter,0
2022-02-01,2022,1,2,February,1,2,Tuesday,5,False,Winter,0
2022-02-02,2022,1,2,February,2,3,Wednesday,5,False,Winter,0
2022-02-03,2022,1,2,February,3,4,Thursday,5,False,Winter,0
2022-02-04,2022,1,2,February,4,5,Friday,5,False,Winter,0
2022-02-05,2022,1,2,February,5,6,Saturday,5,True,Winter,0
2022-02-06,2022,1,2,February,6,7,Sunday,5,True,Winter,0
2022-02-07,2022,1,2,February,7,1,Monday,6,False,Winter,0
2022-02-08,2022,1,2,February,8,2,Tuesday,6,False,Winter,0
2022-02-09,2022,1,2,February,9,3,Wednesday,6,False,Winter,0
2022-02-10,2022,1,2,February,10,4,Thursday,6,False,Winter,0
2022-02-11,2022,1,2,February,11,5,Friday,6,False,Winter,0
2022-02-12,2022,1,2,February,12,6,Saturday,6,True,Winter,0
2022-02-13,2022,1,2,February,13,7,Sunday,6,True,Winter,0
2022-02-14,2022,1,2,February,14,1,Monday,7,False,Winter,0
2022-02-15,2022,1,2,February,15,2,Tuesday,7,False,Winter,0
2022-02-16,2022,1,2,February,16,3,Wednesday,7,False,Winter,0
2022-02-17,2022,1,2,February,17,4,Thursday,7,False,Winter,0
2022-02-18,2022,1,2,February,18,5,Friday,7,False,Winter,0
2022-02-19,2022,1,2,February,19,6,Saturday,7,True,Winter,0
2022-02-20,2022,1,2,February,20,7,Sunday,7,True,Winter,0
2022-02-21,2022,1,2,February,21,1,Monday,8,False,Winter,0
2022-02-22,2022,1,2,February,22,2,Tuesday,8,False,Winter,0
2022-02-23,2022,1,2,February,23,3,Wednesday,8,False,Winter,0
2022-02-24,2022,1,2,February,24,4,Thursday,8,False,Winter,0
2022-02-25,2022,1,2,February,25,5,Friday,8,False,Winter,0
2022-02-26,2022,1,2,February,26,6,Saturday,8,True,Winter,0
2022-02-27,2022,1,2,February,27,7,Sunday,8,True,Winter,0
2022-02-28,2022,1,2,February,28,1,Monday,9,False,Winter,0
2022-03-01,2022,1,3,March,1,2,Tuesday,9,False,Spring,0
2022-03-02,2022,1,3,March,2,3,Wednesday,9,False,Spring,0
2022-03-03,2022,1,3,March,3,4,Thursday,9,False,Spring,0
2022-03-04,2022,1,3,March,4,5,Friday,9,False,Spring,0
2022-03-05,2022,1,3,March,5,6,Saturday,9,True,Spring,0
2022-03-06,2022,1,3,March,6,7,Sunday,9,True,Spring,0
2022-03-07,2022,1,3,March,7,1,Monday,10,False,Spring,0
2022-03-08,2022,1,3,March,8,2,Tuesday,10,False,Spring,0
2022-03-09,2022,1,3,March,9,3,Wednesday,10,False,Spring,0
2022-03-10,2022,1,3,March,10,4,Thursday,10,False,Spring,0
2022-03-11,2022,1,3,March,11,5,Friday,10,False,Spring,0
2022-03-12,2022,1,3,March,12,6,Saturday,10,True,Spring,0
2022-03-13,2022,1,3,March,13,7,Sunday,10,True,Spring,0
2022-03-14,2022,1,3,March,14,1,Monday,11,False,Spring,0
2022-03-15,2022,1,3,March,15,2,Tuesday,11,False,Spring,0
2022-03-16,2022,1,3,March,16,3,Wednesday,11,False,Spring,0
2022-03-17,2022,1,3,March,17,4,Thursday,11,False,Spring,0
2022-03-18,2022,1,3,March,18,5,Friday,11,False,Spring,0
2022-03-19,2022,1,3,March,19,6,Saturday,11,True,Spring,0
2022-03-20,2022,1,3,March,20,7,Sunday,11,True,Spring,0
2022-03-21,2022,1,3,March,21,1,Monday,12,False,Spring,0
2022-03-22,2022,1,3,March,22,2,Tuesday,12,False,Spring,0
2022-03-23,2022,1,3,March,23,3,Wednesday,12,False,Spring,0
2022-03-24,2022,1,3,March,24,4,Thursday,12,False,Spring,0
2022-03-25,2022,1,3,March,25,5,Friday,12,False,Spring,0
2022-03-26,2022,1,3,March,26,6,Saturday,12,True,Spring,0
2022-03-27,2022,1,3,March,27,7,Sunday,12,True,Spring,0
2022-03-28,2022,1,3,March,28,1,Monday,13,False,Spring,0
2022-03-29,2022,1,3,March,29,2,Tuesday,13,False,Spring,0
2022-03-30,2022,1,3,March,30,3,Wednesday,13,False,Spring,0
2022-03-31,2022,1,3,March,31,4,Thursday,13,False,Spring,0
2022-04-01,2022,2,4,April,1,5,Friday,13,False,Spring,0
2022-04-02,2022,2,4,April,2,6,Saturday,13,True,Spring,0
2022-04-03,2022,2,4,April,3,7,Sunday,13,True,Spring,0
2022-04-04,2022,2,4,April,4,1,Monday,14,False,Spring,0
2022-04-05,2022,2,4,April,5,2,Tuesday,14,False,Spring,0
2022-04-06,2022,2,4,April,6,3,Wednesday,14,False,Spring,0
2022-04-07,2022,2,4,April,7,4,Thursday,14,False,Spring,0
2022-04-08,2022,2,4,April,8,5,Friday,14,False,Spring,0
2022-04-09,2022,2,4,April,9,6,Saturday,14,True,Spring,0
2022-04-10,2022,2,4,April,10,7,Sunday,14,True,Spring,0
2022-04-11,2022,2,4,April,11,1,Monday,15,False,Spring,0
2022-04-12,2022,2,4,April,12,2,Tuesday,15,False,Spring,0
2022-04-13,2022,2,4,April,13,3,Wednesday,15,False,Spring,0
2022-04-14,2022,2,4,April,14,4,Thursday,15,False,Spring,0
2022-04-15,2022,2,4,April,15,5,Friday,15,False,Spring,0
2022-04-16,2022,2,4,April,16,6,Saturday,15,True,Spring,0
2022-04-17,2022,2,4,April,17,7,Sunday,15,True,Spring,0
2022-04-18,2022,2,4,April,18,1,Monday,16,False,Spring,0
2022-04-19,2022,2,4,April,19,2,Tuesday,16,False,Spring,0
2022-04-20,2022,2,4,April,20,3,Wednesday,16,False,Spring,0
2022-04-21,2022,2,4,April,21,4,Thursday,16,False,Spring,0
2022-04-22,2022,2,4,April,22,5,Friday,16,False,Spring,0
2022-04-23,2022,2,4,April,23,6,Saturday,16,True,Spring,1
2022-04-24,2022,2,4,April,24,7,Sunday,16,True,Spring,1
2022-04-25,2022,2,4,April,25,1,Monday,17,False,Spring,1
2022-04-26,2022,2,4,April,26,2,Tuesday,17,False,Spring,1
2022-04-27,2022,2,4,April,27,3,Wednesday,17,False,Spring,1
2022-04-28,2022,2,4,April,28,4,Thursday,17,False,Spring,1
2022-04-29,2022,2,4,April,29,5,Friday,17,False,Spring,1
2022-04-30,2022,2,4,April,30,6,Saturday,17,True,Spring,1
2022-05-01,2022,2,5,May,1,7,Sunday,17,True,Spring,1
2022-05-02,2022,2,5,May,2,1,Monday,18,False,Spring,1
2022-05-03,2022,2,5,May,3,2,Tuesday,18,False,Spring,1
2022-05-04,2022,2,5,May,4,3,Wednesday,18,False,Spring,1
2022-05-05,2022,2,5,May,5,4,Thursday,18,False,Spring,1
2022-05-06,2022,2,5,May,6,5,Friday,18,False,Spring,1
2022-05-07,2022,2,5,May,7,6,Saturday,18,True,Spring,1
2022-05-08,2022,2,5,May,8,7,Sunday,18,True,Spring,1
2022-05-09,2022,2,5,May,9,1,Monday,19,False,Spring,1
2022-05-10,2022,2,5,May,10,2,Tuesday,19,False,Spring,1
2022-05-11,2022,2,5,May,11,3,Wednesday,19,False,Spring,1
2022-05-12,2022,2,5,May,12,4,Thursday,19,False,Spring,1
2022-05-13,2022,2,5,May,13,5,Friday,19,False,Spring,1
2022-05-14,2022,2,5,May,14,6,Saturday,19,True,Spring,1
2022-05-15,2022,2,5,May,15,7,Sunday,19,True,Spring,1
2022-05-16,2022,2,5,May,16,1,Monday,20,False,Spring,1
2022-05-17,2022,2,5,May,17,2,Tuesday,20,False,Spring,1
2022-05-18,2022,2,5,May,18,3,Wednesday,20,False,Spring,1
2022-05-19,2022,2,5,May,19,4,Thursday,20,False,Spring,1
2022-05-20,2022,2,5,May,20,5,Friday,20,False,Spring,1
2022-05-21,2022,2,5,May,21,6,Saturday,20,True,Spring,1
2022-05-22,2022,2,5,May,22,7,Sunday,20,True,Spring,1
2022-05-23,2022,2,5,May,23,1,Monday,21,False,Spring,1
2022-05-24,2022,2,5,May,24,2,Tuesday,21,False,Spring,1
2022-05-25,2022,2,5,May,25,3,Wednesday,21,False,Spring,1
2022-05-26,2022,2,5,May,26,4,Thursday,21,False,Spring,0
2022-05-27,2022,2,5,May,27,5,Friday,21,False,Spring,0
2022-05-28,2022,2,5,May,28,6,Saturday,21,True,Spring,0
2022-05-29,2022,2,5,May,29,7,Sunday,21,True,Spring,0
