Date,Store ID,Product ID,Inventory Level,Units Ordered,Competitor Pricing
2022-01-01,S001,P0001,195,252,85.73
2022-01-01,S001,P0002,117,249,92.02
2022-01-01,S001,P0003,247,612,60.08
2022-01-01,S001,P0004,139,102,85.19
2022-01-01,S001,P0005,152,271,51.63
2022-01-01,S001,P0006,209,0,40.01
2022-01-01,S001,P0007,118,335,24.78
2022-01-01,S001,P0008,244,0,44.85
2022-01-01,S001,P0009,115,139,108.7
2022-01-01,S001,P0010,192,300,129.98
2022-01-01,S001,P0011,215,142,188.96
2022-01-01,S001,P0012,289,215,92.02
2022-01-01,S001,P0013,279,0,39.11
2022-01-01,S001,P0014,252,479,92.24
2022-01-01,S001,P0015,119,74,13.59
2022-01-01,S001,P0016,103,372,35.14
2022-01-01,S001,P0017,128,0,22.73
2022-01-01,S001,P0018,281,0,54.1
2022-01-01,S001,P0019,281,0,103.05
2022-01-01,S001,P0020,266,0,115.24
2022-01-01,S002,P0001,102,331,81.87
2022-01-01,S002,P0002,193,192,30.95
2022-01-01,S002,P0003,187,596,84.24
2022-01-01,S002,P0004,160,339,46.57
2022-01-01,S002,P0005,155,334,104.72
2022-01-01,S002,P0006,198,0,57.37
2022-01-01,S002,P0007,233,226,30.08
2022-01-01,S002,P0008,124,99,29.79
2022-01-01,S002,P0009,131,260,68.68
2022-01-01,S002,P0010,242,194,106.37
2022-01-01,S002,P0011,206,191,76.07
2022-01-01,S002,P0012,197,413,69.84
2022-01-01,S002,P0013,152,331,21.12
2022-01-01,S002,P0014,153,289,108.96
2022-01-01,S002,P0015,106,457,64.23
2022-01-01,S002,P0016,113,323,118.76
2022-01-01,S002,P0017,153,196,18.27
2022-01-01,S002,P0018,126,86,26.08
2022-01-01,S002,P0019,164,391,74.12
2022-01-01,S002,P0020,126,132,110.88
2022-01-01,S003,P0001,182,193,15.48
2022-01-01,S003,P0002,290,236,45.94
2022-01-01,S003,P0003,122,127,72.09
2022-01-01,S003,P0004,203,518,30.05
2022-01-01,S003,P0005,253,212,17.3
2022-01-01,S003,P0006,227,0,50.46
2022-01-01,S003,P0007,247,552,21.62
2022-01-01,S003,P0008,297,0,126.44
2022-01-01,S003,P0009,226,0,66.33
2022-01-01,S003,P0010,167,127,39.87
2022-01-01,S003,P0011,159,293,139.75
2022-01-01,S003,P0012,126,131,103.35
2022-01-01,S003,P0013,105,743,78.8
2022-01-01,S003,P0014,271,0,53.36
2022-01-01,S003,P0015,166,500,104.52
2022-01-01,S003,P0016,292,0,107.33
2022-01-01,S003,P0017,204,380,133.9
2022-01-01,S003,P0018,289,316,125.53
2022-01-01,S003,P0019,201,0,70.74
2022-01-01,S003,P0020,250,270,57.66
2022-01-01,S004,P0001,215,287,11.51
2022-01-01,S004,P0002,283,0,20.62
2022-01-01,S004,P0003,161,407,117.74
2022-01-01,S004,P0004,168,252,57.32
2022-01-01,S004,P0005,289,0,77.73
2022-01-01,S004,P0006,206,162,34.77
2022-01-01,S004,P0007,185,253,26.46
2022-01-01,S004,P0008,281,0,118.02
2022-01-01,S004,P0009,206,299,122.04
2022-01-01,S004,P0010,223,597,29.15
2022-01-01,S004,P0011,195,293,62.29
2022-01-01,S004,P0012,111,113,133.46
2022-01-01,S004,P0013,136,385,18.9
2022-01-01,S004,P0014,110,122,178.25
2022-01-01,S004,P0015,249,0,81.87
2022-01-01,S004,P0016,155,218,101.16
2022-01-01,S004,P0017,232,0,94.7
2022-01-01,S004,P0018,165,0,150.73
2022-01-01,S004,P0019,146,103,64.61
2022-01-01,S004,P0020,290,0,110.39
2022-01-01,S005,P0001,182,198,9.92
2022-01-01,S005,P0002,131,474,51.85
2022-01-01,S005,P0003,247,0,26.3
2022-01-01,S005,P0004,195,114,8.33
2022-01-01,S005,P0005,187,344,18.12
2022-01-01,S005,P0006,280,300,52.34
2022-01-01,S005,P0007,297,0,79.8
2022-01-01,S005,P0008,229,0,84.61
2022-01-01,S005,P0009,270,268,112.34
2022-01-01,S005,P0010,132,436,63.54
2022-01-01,S005,P0011,220,0,55.78
2022-01-01,S005,P0012,230,371,118.2
2022-01-01,S005,P0013,145,328,78.02
2022-01-01,S005,P0014,193,219,156.66
2022-01-01,S005,P0015,132,203,52.84
2022-01-01,S005,P0016,131,191,39.5
2022-01-01,S005,P0017,159,73,37.53
2022-01-01,S005,P0018,245,0,22.24
2022-01-01,S005,P0019,202,0,102.4
2022-01-01,S005,P0020,131,105,34.32
2022-01-02,S001,P0001,93,0,73.66
2022-01-02,S001,P0002,249,0,87.66
2022-01-02,S001,P0003,133,0,74.15
2022-01-02,S001,P0004,94,183,105.17
2022-01-02,S001,P0005,87,487,61.2
2022-01-02,S001,P0006,149,172,32.24
2022-01-02,S001,P0007,37,497,31.11
2022-01-02,S001,P0008,202,0,42.34
2022-01-02,S001,P0009,166,107,83.66
2022-01-02,S001,P0010,122,498,139.76
2022-01-02,S001,P0011,164,264,187.65
2022-01-02,S001,P0012,168,397,109.41
2022-01-02,S001,P0013,166,90,28.94
2022-01-02,S001,P0014,131,0,66.18
2022-01-02,S001,P0015,138,109,16.81
2022-01-02,S001,P0016,25,0,30.98
2022-01-02,S001,P0017,69,50,16.08
2022-01-02,S001,P0018,203,155,56.8
2022-01-02,S001,P0019,220,0,99.51
2022-01-02,S001,P0020,230,432,111.8
2022-01-02,S002,P0001,0,350,85.0
2022-01-02,S002,P0002,74,0,36.09
2022-01-02,S002,P0003,20,0,61.22
2022-01-02,S002,P0004,49,0,35.23
2022-01-02,S002,P0005,52,412,94.92
2022-01-02,S002,P0006,119,137,59.62
2022-01-02,S002,P0007,144,0,28.44
2022-01-02,S002,P0008,99,153,34.68
2022-01-02,S002,P0009,0,263,83.48
2022-01-02,S002,P0010,318,0,98.18
2022-01-02,S002,P0011,157,474,109.66
2022-01-02,S002,P0012,119,511,56.85
2022-01-02,S002,P0013,59,0,22.07
2022-01-02,S002,P0014,84,564,124.77
2022-01-02,S002,P0015,36,604,71.11
2022-01-02,S002,P0016,0,260,114.77
2022-01-02,S002,P0017,81,323,20.42
2022-01-02,S002,P0018,143,87,31.4
2022-01-02,S002,P0019,82,439,85.41
2022-01-02,S002,P0020,83,214,124.57
2022-01-02,S003,P0001,73,0,16.81
2022-01-02,S003,P0002,234,548,55.32
2022-01-02,S003,P0003,127,160,107.36
2022-01-02,S003,P0004,81,0,22.28
2022-01-02,S003,P0005,213,0,17.73
2022-01-02,S003,P0006,121,96,39.79
2022-01-02,S003,P0007,124,0,19.56
2022-01-02,S003,P0008,236,306,148.43
2022-01-02,S003,P0009,130,86,51.15
2022-01-02,S003,P0010,224,0,32.0
2022-01-02,S003,P0011,2,386,126.49
2022-01-02,S003,P0012,68,224,106.9
2022-01-02,S003,P0013,0,0,72.85
2022-01-02,S003,P0014,244,0,83.63
2022-01-02,S003,P0015,35,622,120.1
2022-01-02,S003,P0016,212,289,110.11
2022-01-02,S003,P0017,151,0,92.46
2022-01-02,S003,P0018,233,0,148.9
2022-01-02,S003,P0019,92,95,55.93
2022-01-02,S003,P0020,209,0,62.9
2022-01-02,S004,P0001,130,734,11.95
2022-01-02,S004,P0002,216,225,21.48
2022-01-02,S004,P0003,69,0,134.09
2022-01-02,S004,P0004,80,0,44.68
2022-01-02,S004,P0005,92,152,88.73
2022-01-02,S004,P0006,158,268,34.97
2022-01-02,S004,P0007,142,563,35.75
2022-01-02,S004,P0008,222,0,90.72
2022-01-02,S004,P0009,100,494,135.44
2022-01-02,S004,P0010,103,0,26.5
2022-01-02,S004,P0011,135,688,58.88
2022-01-02,S004,P0012,113,71,102.02
2022-01-02,S004,P0013,32,501,23.75
2022-01-02,S004,P0014,58,185,193.4
2022-01-02,S004,P0015,207,200,82.61
2022-01-02,S004,P0016,81,0,148.34
2022-01-02,S004,P0017,167,149,111.57
2022-01-02,S004,P0018,101,104,163.21
2022-01-02,S004,P0019,124,162,79.53
2022-01-02,S004,P0020,238,0,133.94
2022-01-02,S005,P0001,107,0,10.06
2022-01-02,S005,P0002,0,0,38.43
2022-01-02,S005,P0003,102,109,28.91
2022-01-02,S005,P0004,166,109,7.23
2022-01-02,S005,P0005,61,0,13.22
2022-01-02,S005,P0006,221,540,60.46
2022-01-02,S005,P0007,223,0,64.26
2022-01-02,S005,P0008,64,103,55.01
2022-01-02,S005,P0009,211,0,88.63
2022-01-02,S005,P0010,0,629,64.1
2022-01-02,S005,P0011,203,260,64.73
2022-01-02,S005,P0012,159,439,157.89
2022-01-02,S005,P0013,63,319,89.57
2022-01-02,S005,P0014,130,0,152.98
2022-01-02,S005,P0015,24,192,49.28
2022-01-02,S005,P0016,72,209,34.06
2022-01-02,S005,P0017,143,0,35.51
2022-01-02,S005,P0018,177,239,27.16
2022-01-02,S005,P0019,160,113,139.55
2022-01-02,S005,P0020,157,0,23.56
2022-01-03,S001,P0001,274,229,80.73
2022-01-03,S001,P0002,133,118,77.58
2022-01-03,S001,P0003,3,0,56.0
2022-01-03,S001,P0004,114,0,105.94
2022-01-03,S001,P0005,0,761,57.29
2022-01-03,S001,P0006,72,281,36.01
2022-01-03,S001,P0007,0,0,25.21
2022-01-03,S001,P0008,165,0,38.38
2022-01-03,S001,P0009,140,109,86.64
2022-01-03,S001,P0010,17,0,124.61
2022-01-03,S001,P0011,154,0,175.99
2022-01-03,S001,P0012,215,0,97.64
2022-01-03,S001,P0013,183,0,35.18
2022-01-03,S001,P0014,50,0,79.61
2022-01-03,S001,P0015,130,80,14.9
2022-01-03,S001,P0016,0,553,40.77
2022-01-03,S001,P0017,86,94,21.56
2022-01-03,S001,P0018,186,115,65.71
2022-01-03,S001,P0019,185,0,95.66
2022-01-03,S001,P0020,137,0,86.97
2022-01-03,S002,P0001,0,0,92.33
2022-01-03,S002,P0002,205,166,30.87
2022-01-03,S002,P0003,0,0,79.43
2022-01-03,S002,P0004,9,0,37.38
2022-01-03,S002,P0005,0,0,91.4
2022-01-03,S002,P0006,140,172,64.59
2022-01-03,S002,P0007,49,300,33.63
2022-01-03,S002,P0008,153,155,36.87
2022-01-03,S002,P0009,260,0,64.5
2022-01-03,S002,P0010,139,107,81.12
2022-01-03,S002,P0011,22,0,124.57
2022-01-03,S002,P0012,44,0,59.81
2022-01-03,S002,P0013,14,0,21.08
2022-01-03,S002,P0014,0,0,120.17
2022-01-03,S002,P0015,0,0,83.24
2022-01-03,S002,P0016,323,0,74.88
2022-01-03,S002,P0017,18,0,23.47
2022-01-03,S002,P0018,156,121,24.82
2022-01-03,S002,P0019,16,0,109.82
