Date,Store ID,Product ID,Inventory Level,Units Ordered,Competitor Pricing
2022-01-01,S001,P0001,231,55,29.69
2022-01-01,S001,P0002,204,66,66.16
2022-01-01,S001,P0003,102,51,31.32
2022-01-01,S001,P0004,469,164,34.74
2022-01-01,S001,P0005,166,135,68.95
2022-01-01,S001,P0006,138,102,79.35
2022-01-01,S001,P0007,359,167,36.55
2022-01-01,S001,P0008,380,54,100.09
2022-01-01,S001,P0009,183,135,17.66
2022-01-01,S001,P0010,108,196,61.21
2022-01-01,S001,P0011,258,153,61.42
2022-01-01,S001,P0012,66,70,62.21
2022-01-01,S001,P0013,96,85,46.31
2022-01-01,S001,P0014,193,187,80.06
2022-01-01,S001,P0015,379,154,95.8
2022-01-01,S001,P0016,363,69,20.27
2022-01-01,S001,P0017,318,177,16.49
2022-01-01,S001,P0018,241,47,23.13
2022-01-01,S001,P0019,352,186,77.26
2022-01-01,S001,P0020,274,166,27.1
2022-01-01,S002,P0001,343,144,30.78
2022-01-01,S002,P0002,373,151,45.21
2022-01-01,S002,P0003,445,119,22.0
2022-01-01,S002,P0004,191,115,28.06
2022-01-01,S002,P0005,281,25,80.64
2022-01-01,S002,P0006,492,168,86.82
2022-01-01,S002,P0007,460,70,93.33
2022-01-01,S002,P0008,304,99,65.36
2022-01-01,S002,P0009,113,84,82.06
2022-01-01,S002,P0010,157,181,65.22
2022-01-01,S002,P0011,67,33,33.98
2022-01-01,S002,P0012,281,136,19.01
2022-01-01,S002,P0013,389,177,58.5
2022-01-01,S002,P0014,465,77,90.85
2022-01-01,S002,P0015,197,94,55.23
2022-01-01,S002,P0016,242,85,42.17
2022-01-01,S002,P0017,398,92,10.0
2022-01-01,S002,P0018,234,140,54.39
2022-01-01,S002,P0019,67,186,81.02
2022-01-01,S002,P0020,221,38,91.56
2022-01-01,S003,P0001,241,180,67.39
2022-01-01,S003,P0002,115,169,25.63
2022-01-01,S003,P0003,375,145,57.16
2022-01-01,S003,P0004,153,145,93.6
2022-01-01,S003,P0005,438,20,93.54
2022-01-01,S003,P0006,456,22,71.38
2022-01-01,S003,P0007,189,107,90.5
2022-01-01,S003,P0008,223,107,70.46
2022-01-01,S003,P0009,381,184,73.93
2022-01-01,S003,P0010,166,124,95.8
2022-01-01,S003,P0011,292,155,57.85
2022-01-01,S003,P0012,311,55,89.52
2022-01-01,S003,P0013,51,172,76.65
2022-01-01,S003,P0014,398,26,82.51
2022-01-01,S003,P0015,445,24,23.28
2022-01-01,S003,P0016,487,93,99.58
2022-01-01,S003,P0017,429,168,27.4
2022-01-01,S003,P0018,204,170,94.88
2022-01-01,S003,P0019,330,37,24.81
2022-01-01,S003,P0020,431,99,95.7
2022-01-01,S004,P0001,477,66,16.09
2022-01-01,S004,P0002,462,183,45.05
2022-01-01,S004,P0003,446,27,93.0
2022-01-01,S004,P0004,437,160,90.36
2022-01-01,S004,P0005,397,172,85.22
2022-01-01,S004,P0006,470,195,39.86
2022-01-01,S004,P0007,264,139,64.78
2022-01-01,S004,P0008,250,137,86.14
2022-01-01,S004,P0009,63,73,61.1
2022-01-01,S004,P0010,447,96,37.15
2022-01-01,S004,P0011,205,27,57.76
2022-01-01,S004,P0012,349,165,18.56
2022-01-01,S004,P0013,191,65,63.92
2022-01-01,S004,P0014,406,139,68.47
2022-01-01,S004,P0015,228,127,65.27
2022-01-01,S004,P0016,263,24,96.74
2022-01-01,S004,P0017,203,75,28.07
