Date,Store ID,Product ID,Units Sold,Price,Discount,Holiday/Promotion,Demand Forecast
2022-01-01,S001,P0001,127,33.5,20,0,135.47
2022-01-01,S001,P0002,150,63.01,20,0,144.04
2022-01-01,S001,P0003,65,27.99,10,1,74.02
2022-01-01,S001,P0004,61,32.72,10,1,62.18
2022-01-01,S001,P0005,14,73.64,0,0,9.26
2022-01-01,S001,P0006,128,76.83,10,1,139.82
2022-01-01,S001,P0007,97,34.16,10,1,108.92
2022-01-01,S001,P0008,312,97.99,5,0,329.73
2022-01-01,S001,P0009,175,20.74,10,0,174.15
2022-01-01,S001,P0010,28,59.99,0,1,24.47
2022-01-01,S001,P0011,150,58.53,10,1,152.74
2022-01-01,S001,P0012,24,58.25,20,0,26.75
2022-01-01,S001,P0013,42,43.6,0,0,41.46
2022-01-01,S001,P0014,12,78.11,0,0,6.8
2022-01-01,S001,P0015,369,92.99,15,0,363.46
2022-01-01,S001,P0016,255,21.9,5,1,255.74
2022-01-01,S001,P0017,246,21.07,20,0,255.37
2022-01-01,S001,P0018,151,19.57,5,0,147.27
2022-01-01,S001,P0019,257,73.28,10,0,267.38
2022-01-01,S001,P0020,99,30.24,5,0,115.23
2022-01-01,S002,P0001,104,32.8,20,1,112.55
2022-01-01,S002,P0002,141,46.16,10,1,135.62
2022-01-01,S002,P0003,182,20.46,20,1,176.31
2022-01-01,S002,P0004,63,26.19,0,0,54.57
2022-01-01,S002,P0005,156,83.29,20,0,150.9
2022-01-01,S002,P0006,250,85.59,20,0,242.57
2022-01-01,S002,P0007,393,91.13,5,0,401.48
2022-01-01,S002,P0008,29,66.96,20,0,35.54
2022-01-01,S002,P0009,9,81.29,5,1,14.78
2022-01-01,S002,P0010,126,60.84,0,1,132.75
2022-01-01,S002,P0011,13,34.62,0,1,7.44
2022-01-01,S002,P0012,25,19.56,5,1,37.27
2022-01-01,S002,P0013,283,57.78,20,0,299.7
2022-01-01,S002,P0014,359,91.28,20,0,370.36
2022-01-01,S002,P0015,129,59.9,15,1,148.55
2022-01-01,S002,P0016,63,45.65,20,1,58.07
2022-01-01,S002,P0017,373,11.71,20,1,390.89
2022-01-01,S002,P0018,160,58.84,5,0,177.41
2022-01-01,S002,P0019,15,84.99,5,1,34.38
2022-01-01,S002,P0020,101,87.1,0,1,115.0
2022-01-01,S003,P0001,147,67.21,5,1,161.09
2022-01-01,S003,P0002,4,28.2,10,1,11.11
2022-01-01,S003,P0003,77,56.16,10,1,75.04
2022-01-01,S003,P0004,31,89.53,20,1,42.99
2022-01-01,S003,P0005,325,97.95,20,0,330.92
2022-01-01,S003,P0006,163,76.37,5,1,159.17
2022-01-01,S003,P0007,34,86.99,15,1,26.91
2022-01-01,S003,P0008,47,66.53,15,1,45.48
2022-01-01,S003,P0009,15,74.86,15,1,30.05
2022-01-01,S003,P0010,126,97.09,5,1,141.34
2022-01-01,S003,P0011,232,56.19,0,1,242.02
2022-01-01,S003,P0012,175,90.38,20,0,176.75
2022-01-01,S003,P0013,17,73.98,20,1,12.86
2022-01-01,S003,P0014,369,79.03,5,0,387.88
2022-01-01,S003,P0015,260,27.72,5,0,266.36
2022-01-01,S003,P0016,347,98.18,15,0,349.36
2022-01-01,S003,P0017,150,27.1,5,1,157.82
2022-01-01,S003,P0018,70,97.08,15,1,83.01
2022-01-01,S003,P0019,249,26.71,15,1,268.25
2022-01-01,S003,P0020,370,95.85,20,1,387.57
2022-01-01,S004,P0001,271,15.62,15,0,286.65
2022-01-01,S004,P0002,180,41.13,5,0,176.06
2022-01-01,S004,P0003,344,89.32,20,0,352.93
2022-01-01,S004,P0004,0,87.23,10,0,-2.4
2022-01-01,S004,P0005,200,81.72,0,1,196.57
2022-01-01,S004,P0006,382,41.35,10,0,396.4
2022-01-01,S004,P0007,190,67.26,20,0,197.45
2022-01-01,S004,P0008,51,85.88,20,1,54.98
2022-01-01,S004,P0009,40,59.23,10,1,51.78
2022-01-01,S004,P0010,104,33.48,15,0,115.03
2022-01-01,S004,P0011,46,54.84,0,1,46.65
2022-01-01,S004,P0012,9,14.25,5,1,0.95
2022-01-01,S004,P0013,56,61.81,0,0,54.47
2022-01-01,S004,P0014,63,66.94,10,1,69.73
2022-01-01,S004,P0015,181,60.54,5,0,171.96
2022-01-01,S004,P0016,94,94.26,15,0,98.05
2022-01-01,S004,P0017,46,25.55,0,0,55.12
2022-01-01,S004,P0018,8,16.73,5,1,27.3
2022-01-01,S004,P0019,172,71.2,15,1,181.25
2022-01-01,S004,P0020,68,11.5,20,0,86.27
2022-01-01,S005,P0001,77,70.33,10,0,83.47
2022-01-01,S005,P0002,298,57.15,5,1,292.96
2022-01-01,S005,P0003,64,36.17,5,0,76.02
2022-01-01,S005,P0004,300,50.77,15,1,292.04
2022-01-01,S005,P0005,21,92.86,15,1,38.63
2022-01-01,S005,P0006,176,60.76,20,0,174.06
2022-01-01,S005,P0007,131,46.47,15,0,122.6
2022-01-01,S005,P0008,317,34.08,5,1,328.64
2022-01-01,S005,P0009,97,87.81,5,0,92.62
2022-01-01,S005,P0010,8,37.04,10,1,14.38
2022-01-01,S005,P0011,104,54.12,10,1,94.65
2022-01-01,S005,P0012,87,67.64,15,0,90.59
2022-01-01,S005,P0013,238,82.18,5,0,256.57
2022-01-01,S005,P0014,171,42.62,20,1,188.55
2022-01-01,S005,P0015,250,11.54,10,0,260.79
2022-01-01,S005,P0016,11,16.3,5,0,1.85
2022-01-01,S005,P0017,371,98.31,15,1,390.04
2022-01-01,S005,P0018,107,48.96,10,1,103.97
2022-01-01,S005,P0019,106,88.22,5,0,119.33
2022-01-01,S005,P0020,101,11.04,10,1,105.92
2022-01-02,S001,P0001,81,27.95,10,0,92.94
2022-01-02,S001,P0002,163,19.78,15,0,171.6
2022-01-02,S001,P0003,464,70.99,10,0,463.12
2022-01-02,S001,P0004,116,49.56,5,0,133.92
2022-01-02,S001,P0005,200,23.76,15,1,204.3
2022-01-02,S001,P0006,58,47.56,0,1,51.57
2022-01-02,S001,P0007,56,17.1,5,1,60.3
2022-01-02,S001,P0008,74,58.89,5,0,67.04
2022-01-02,S001,P0009,54,99.76,20,0,70.6
2022-01-02,S001,P0010,39,11.44,5,0,47.8
2022-01-02,S001,P0011,12,53.84,0,1,16.92
2022-01-02,S001,P0012,56,57.84,5,1,70.71
2022-01-02,S001,P0013,31,35.51,15,1,44.46
2022-01-02,S001,P0014,25,31.41,0,1,23.36
2022-01-02,S001,P0015,198,28.06,20,1,203.23
2022-01-02,S001,P0016,77,35.67,15,0,67.55
2022-01-02,S001,P0017,165,28.18,5,0,181.86
2022-01-02,S001,P0018,42,74.42,5,0,55.16
2022-01-02,S001,P0019,8,91.95,5,1,24.41
2022-01-02,S001,P0020,174,97.88,0,0,187.49
2022-01-02,S002,P0001,343,66.57,20,1,339.04
2022-01-02,S002,P0002,71,90.36,5,0,82.44
2022-01-02,S002,P0003,157,92.24,5,1,153.42
2022-01-02,S002,P0004,88,68.71,0,0,100.61
2022-01-02,S002,P0005,64,87.22,5,1,57.53
2022-01-02,S002,P0006,273,79.38,0,0,273.1
2022-01-02,S002,P0007,247,17.41,15,0,264.18
2022-01-02,S002,P0008,42,14.8,15,1,46.32
2022-01-02,S002,P0009,197,30.5,0,0,195.61
2022-01-02,S002,P0010,374,27.84,15,1,387.41
2022-01-02,S002,P0011,154,88.62,0,0,169.13
2022-01-02,S002,P0012,236,82.35,20,0,239.09
