Product ID,Most Common Category,Most Common Category %,All Categories Observed
P0001,Groceries,20.9,Clothing;Electronics;Furniture;Groceries;Toys
P0002,Furniture,20.6,Clothing;Electronics;Furniture;Groceries;Toys
P0003,Groceries,20.8,Clothing;Electronics;Furniture;Groceries;Toys
P0004,Electronics,20.4,Clothing;Electronics;Furniture;Groceries;Toys
P0005,Groceries,20.6,Clothing;Electronics;Furniture;Groceries;Toys
P0006,Groceries,21.3,Clothing;Electronics;Furniture;Groceries;Toys
P0007,Electronics,20.8,Clothing;Electronics;Furniture;Groceries;Toys
P0008,Electronics,20.7,Clothing;Electronics;Furniture;Groceries;Toys
P0009,Furniture,21.1,Clothing;Electronics;Furniture;Groceries;Toys
P0010,Toys,20.6,Clothing;Electronics;Furniture;Groceries;Toys
P0011,Electronics,21.1,Clothing;Electronics;Furniture;Groceries;Toys
P0012,Clothing,21.1,Clothing;Electronics;Furniture;Groceries;Toys
P0013,Groceries,21.0,Clothing;Electronics;Furniture;Groceries;Toys
P0014,Toys,20.8,Clothing;Electronics;Furniture;Groceries;Toys
P0015,Furniture,20.9,Clothing;Electronics;Furniture;Groceries;Toys
P0016,Groceries,21.3,Clothing;Electronics;Furniture;Groceries;Toys
P0017,Clothing,20.5,Clothing;Electronics;Furniture;Groceries;Toys
P0018,Electronics,21.2,Clothing;Electronics;Furniture;Groceries;Toys
P0019,Clothing,21.3,Clothing;Electronics;Furniture;Groceries;Toys
P0020,Toys,21.3,Clothing;Electronics;Furniture;Groceries;Toys
